terse_version;fio_version;jobname;groupid;error;READ_kb;READ_bandwidth;READ_IOPS;READ_runtime;READ_Slat_min;READ_Slat_max;READ_Slat_mean;READ_Slat_dev;READ_Clat_max;READ_Clat_min;READ_Clat_mean;READ_Clat_dev;READ_clat_pct01;READ_clat_pct02;READ_clat_pct03;READ_clat_pct04;READ_clat_pct05;READ_clat_pct06;READ_clat_pct07;READ_clat_pct08;READ_clat_pct09;READ_clat_pct10;READ_clat_pct11;READ_clat_pct12;READ_clat_pct13;READ_clat_pct14;READ_clat_pct15;READ_clat_pct16;READ_clat_pct17;READ_clat_pct18;READ_clat_pct19;READ_clat_pct20;READ_tlat_min;READ_lat_max;READ_lat_mean;READ_lat_dev;READ_bw_min;READ_bw_max;READ_bw_agg_pct;READ_bw_mean;READ_bw_dev;WRITE_kb;WRITE_bandwidth;WRITE_IOPS;WRITE_runtime;WRITE_Slat_min;WRITE_Slat_max;WRITE_Slat_mean;WRITE_Slat_dev;WRITE_Clat_max;WRITE_Clat_min;WRITE_Clat_mean;WRITE_Clat_dev;WRITE_clat_pct01;WRITE_clat_pct02;WRITE_clat_pct03;WRITE_clat_pct04;WRITE_clat_pct05;WRITE_clat_pct06;WRITE_clat_pct07;WRITE_clat_pct08;WRITE_clat_pct09;WRITE_clat_pct10;WRITE_clat_pct11;WRITE_clat_pct12;WRITE_clat_pct13;WRITE_clat_pct14;WRITE_clat_pct15;WRITE_clat_pct16;WRITE_clat_pct17;WRITE_clat_pct18;WRITE_clat_pct19;WRITE_clat_pct20;WRITE_tlat_min;WRITE_lat_max;WRITE_lat_mean;WRITE_lat_dev;WRITE_bw_min;WRITE_bw_max;WRITE_bw_agg_pct;WRITE_bw_mean;WRITE_bw_dev;CPU_user;CPU_sys;CPU_csw;CPU_mjf;PU_minf;iodepth_1;iodepth_2;iodepth_4;iodepth_8;iodepth_16;iodepth_32;iodepth_64;lat_2us;lat_4us;lat_10us;lat_20us;lat_50us;lat_100us;lat_250us;lat_500us;lat_750us;lat_1000us;lat_2ms;lat_4ms;lat_10ms;lat_20ms;lat_50ms;lat_100ms;lat_250ms;lat_500ms;lat_750ms;lat_1000ms;lat_2000ms;lat_over_2000ms;disk_name;disk_read_iops;disk_write_iops;disk_read_merges;disk_write_merges;disk_read_ticks;write_ticks;disk_queue_time;disk_utilization
3;fio-2.18;async-1-1;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;21857;21857;479727;1;37;2.044491;0.279467;0;8638;42.857567;231.304510;1.000000%=8;5.000000%=8;10.000000%=8;20.000000%=8;30.000000%=9;40.000000%=9;50.000000%=9;60.000000%=9;70.000000%=10;80.000000%=20;90.000000%=21;95.000000%=63;99.000000%=868;99.500000%=2320;99.900000%=2448;99.950000%=2480;99.990000%=2544;0%=0;0%=0;0%=0;9;8640;45.011000;231.304817;0;0;0.000000%;0.000000;0.000000;5.846671%;5.368898%;10485725;0;1;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.01%;0.01%;62.29%;11.21%;18.60%;6.09%;0.02%;0.01%;0.02%;0.88%;0.01%;0.88%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;39;10484679;0;0;4;429940;428996;89.42%
3;fio-2.18;async-1-16;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;28152;28152;372458;1;49;3.238299;1.755757;1;10432;563.826561;808.978359;1.000000%=10;5.000000%=24;10.000000%=61;20.000000%=129;30.000000%=169;40.000000%=175;50.000000%=185;60.000000%=191;70.000000%=215;80.000000%=980;90.000000%=2448;95.000000%=2576;99.000000%=2672;99.500000%=2704;99.900000%=2736;99.950000%=2768;99.990000%=3280;0%=0;0%=0;0%=0;10;10434;567.210974;808.846870;0;0;0.000000%;0.000000;0.000000;5.851951%;11.088528%;2442881;0;1;0.1%;0.1%;0.1%;0.1%;100.0%;0.0%;0.0%;0.01%;0.00%;0.36%;3.19%;4.95%;6.05%;59.20%;0.63%;0.36%;6.45%;6.09%;12.71%;0.01%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;15;10484525;0;0;0;5810128;5808904;100.00%
3;fio-2.18;async-1-32;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;32088;32088;326779;1;41;3.282808;1.778801;0;11517;992.724302;1001.893122;1.000000%=10;5.000000%=25;10.000000%=68;20.000000%=151;30.000000%=314;40.000000%=366;50.000000%=394;60.000000%=964;70.000000%=1176;80.000000%=2512;90.000000%=2704;95.000000%=2800;99.000000%=2896;99.500000%=2928;99.900000%=2992;99.950000%=2992;99.990000%=5792;0%=0;0%=0;0%=0;10;11520;996.151572;1001.757103;0;0;0.000000%;0.000000;0.000000;6.454535%;12.816040%;2284291;0;1;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.0%;0.01%;0.01%;0.46%;3.27%;4.56%;5.52%;12.54%;27.93%;1.85%;5.28%;14.89%;23.68%;0.02%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;16;10482090;0;0;0;10293720;10292752;100.00%
3;fio-2.18;async-1-64;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;38787;38787;270340;1;57;3.166287;1.673558;4;14340;1645.659856;1389.486783;1.000000%=14;5.000000%=60;10.000000%=113;20.000000%=237;30.000000%=402;40.000000%=1048;50.000000%=1272;60.000000%=1640;70.000000%=2896;80.000000%=3056;90.000000%=3184;95.000000%=3280;99.000000%=5536;99.500000%=5664;99.900000%=5856;99.950000%=6304;99.990000%=8896;0%=0;0%=0;0%=0;10;14342;1648.962615;1389.470504;0;0;0.000000%;0.000000;0.000000;7.244238%;14.433730%;1790939;0;1;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.00%;0.00%;0.15%;1.30%;2.86%;4.10%;12.41%;12.58%;2.84%;2.40%;23.11%;34.75%;3.49%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;9;10478739;0;0;0;17124048;17123256;100.00%
3;fio-2.18;async-1-128;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;40059;40059;261756;1;40;3.199147;1.686301;2;18961;3190.842944;2668.315793;1.000000%=12;5.000000%=61;10.000000%=141;20.000000%=362;30.000000%=1080;40.000000%=1368;50.000000%=2800;60.000000%=3504;70.000000%=5792;80.000000%=6112;90.000000%=6368;95.000000%=8160;99.000000%=8768;99.500000%=8896;99.900000%=9152;99.950000%=10048;99.990000%=13248;0%=0;0%=0;0%=0;10;18963;3194.179288;2668.283600;0;0;0.000000%;0.000000;0.000000;7.792019%;14.981949%;1942379;0;1;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.00%;0.01%;0.25%;1.40%;2.59%;3.48%;7.97%;6.82%;1.50%;3.56%;18.63%;16.66%;37.10%;0.05%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;16;10481893;0;0;0;33327616;33329684;100.00%
3;fio-2.18;sync-1-1;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;21665;21665;483988;0;0;0.000000;0.000000;10;8644;45.423105;230.428842;1.000000%=11;5.000000%=11;10.000000%=11;20.000000%=11;30.000000%=11;40.000000%=12;50.000000%=12;60.000000%=12;70.000000%=13;80.000000%=22;90.000000%=23;95.000000%=65;99.000000%=868;99.500000%=2320;99.900000%=2480;99.950000%=2480;99.990000%=2544;0%=0;0%=0;0%=0;10;8645;45.510000;230.428855;0;0;0.000000%;0.000000;0.000000;5.243116%;4.168707%;10485782;0;0;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;73.17%;18.71%;6.33%;0.01%;0.01%;0.03%;0.88%;0.01%;0.88%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;36;10484260;0;0;4;437000;436136;90.11%
3;fio-2.18;sync-64-1;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;9170;9170;1143415;0;0;0.000000;0.000000;10;106187;6969.369837;6724.822684;1.000000%=13;5.000000%=18;10.000000%=59;20.000000%=1112;30.000000%=2608;40.000000%=4128;50.000000%=5216;60.000000%=7008;70.000000%=9280;80.000000%=12096;90.000000%=16192;95.000000%=19328;99.000000%=25472;99.500000%=27776;99.900000%=37120;99.950000%=97792;99.990000%=102912;0%=0;0%=0;0%=0;10;106188;6969.553827;6724.851775;0;0;0.000000%;0.000000;0.000000;0.033195%;0.088932%;10486767;0;0;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;6.17%;3.33%;3.99%;1.88%;0.33%;0.07%;2.75%;5.53%;15.32%;34.74%;21.86%;3.95%;0.04%;0.03%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;261;10485080;0;0;492;72998616;73044048;100.00%
3;fio-2.18;sync-128-1;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;7062;7062;1484762;0;0;0.000000;0.000000;10;215227;18109.035676;15348.481416;1.000000%=14;5.000000%=54;10.000000%=1800;20.000000%=5152;30.000000%=8640;40.000000%=11968;50.000000%=15168;60.000000%=19328;70.000000%=24192;80.000000%=29824;90.000000%=37632;95.000000%=43264;99.000000%=55040;99.500000%=60672;99.900000%=195584;99.950000%=203776;99.990000%=207872;0%=0;0%=0;0%=0;10;215228;18109.191830;15348.498242;0;0;0.000000%;0.000000;0.000000;0.011138%;0.028432%;10489526;0;0;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;3.44%;1.48%;1.62%;0.62%;0.06%;0.02%;1.50%;2.06%;5.73%;17.86%;27.69%;35.91%;1.86%;0.16%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;322;10485668;0;0;1684;189813368;189872624;100.00%
3;fio-2.18;sync-256-1;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;17248;17248;607916;0;0;0.000000;0.000000;12;629746;14771.877468;14557.544298;1.000000%=908;5.000000%=2448;10.000000%=3664;20.000000%=5728;30.000000%=7712;40.000000%=9920;50.000000%=12096;60.000000%=14784;70.000000%=18048;80.000000%=22400;90.000000%=28288;95.000000%=32640;99.000000%=41728;99.500000%=47872;99.900000%=175104;99.950000%=301056;99.990000%=411648;0%=0;0%=0;0%=0;12;629746;14772.021072;14557.550589;0;0;0.000000%;0.000000;0.000000;0.012808%;0.033687%;10491018;0;0;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.01%;0.05%;0.08%;0.30%;0.20%;0.09%;0.52%;2.14%;7.88%;29.35%;33.94%;25.01%;0.16%;0.22%;0.05%;0.01%;0.00%;0.00%;0.00%;nvme0n1;249;10485751;0;0;1256;154827788;154887568;100.00%
3;fio-2.18;sync-1024-1;0;0;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;10485760;19548;19548;536408;0;0;0.000000;0.000000;12;1811656;51344.315335;67137.652232;1.000000%=1832;5.000000%=4960;10.000000%=8384;20.000000%=15296;30.000000%=22912;40.000000%=31360;50.000000%=40704;60.000000%=49408;70.000000%=57088;80.000000%=64768;90.000000%=81408;95.000000%=138240;99.000000%=313344;99.500000%=387072;99.900000%=856064;99.950000%=1171456;99.990000%=1515520;0%=0;0%=0;0%=0;12;1811656;51344.496797;67137.664032;0;0;0.000000%;0.000000;0.000000;0.005802%;0.011084%;10489229;0;0;100.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;0.00%;0.01%;0.03%;0.04%;0.12%;0.06%;0.03%;0.19%;0.74%;2.44%;8.65%;14.00%;34.41%;31.38%;6.01%;1.66%;0.11%;0.06%;0.07%;0.00%;nvme0n1;376;10485716;0;0;2348;538279564;538625080;100.00%
